Submit Date,ILS Start Time,ILS Duration (All 4 Qs Groups) (MM:SS),Time All 4 ILS Group Qs Completed,Visual-Span Start Time,Visual-Span Duration (MM:SS),N-Back Start Time,N-Back Duration (MM:SS),Task Order,Token,Total Elapsed Time (Start to Submit of ILS Survey),Gender,Age,Active/Reflective,Sensing/Intuitive,Visual/Verbal,Sequential/Global,Browser,VS_DT_meanRT_Demos,VS_DT_meanRT_TestTrials,VS_DT_meanRT_correct_Demos,VS_DT_meanRT_correct_TestTrials,VS_DT_meanRT_incorrect_Demos,VS_DT_meanRT_incorrect_TestTrials,VS_DT_totalPRT_Demos,VS_DT_totalPRT_TestTrials,VS_DT_speedErrors_Demos /19,VS_DT_speedErrors_TestTrials /42,VS_DT_accuracyErrors_Demos /19,VS_DT_accuracyErrors_TestTrials /42,VS_DT_totalErrors_Demo,VS_DT_totalErrors_Test,VS_DT_maxRT_Demos,VS_DT_maxRT_TestTrials,VS_DT_totalCorrect_Demos /19,VS_DT_totalCorrect(%)_Demos,VS_DT_totalCorrect_TestTrials /42,VS_DT_totalCorrect(%)_TestTrials,VS_BL_perfectScore_total_Demos /25,VS_BL_perfectScore_TestTrials /42,VS_BL_total_Demos /25,VS_BL_total_TestTrials /42,VS_BL_partialCredit_Demos /1,VS_BL_partialCredit_TestTrials /1,VS_RT_totalRecall_Demos (ms),VS_RT_totalRecall_TestTrials (ms),N_2B_hitRate_Demos /12,N_3B_hitRate_Demos /12,N_2B_hitRate_Test /24,N_3B_hitRate_Test /24,N_2B_falseAlarm_Demo,N_3B_falseAlarm_Demo,N_2B_falseAlarm_Test,N_3B_falseAlarm_Test,N_2B_accuracy_Demo,N_3B_accuracy_Demo,N_2B_accuracy_Test,N_3B_accuracy_Test,N_2B_omission_Demo,N_3B_omission_Demo,N_2B_omission_Test,N_3B_omission_Test,N_2B_sensitivity_Demo,N_3B_sensitivity_Demo,N_2B_sensitivity_Test,N_3B_sensitivity_Test,N_2B_bias_Demo?,N_3B_bias_Demo?,N_2B_bias_Test?,N_3B_bias_Test?,N_2B_correct_NR_Demo,N_3B_correct_NR_Demo,N_2B_correct_NR_Test,N_3B_correct_NR_Test
2023-09-02 06:59:01,2023-09-02 06:26:23,06:19,2023-09-02 06:32:42,2023-09-02 06:37:52,06:32,2023-09-02 06:44:36,16:20,"V, N",3XWsjElk0VNykXU,0:32:38,F,37,-7,9,-5,3,Chrome version 116.0.0.0,2523,1452,4488,1452,7422,-1,47934,60968,0,0,2,0,2,0,8772,2330,17,89.5,42,100.0,22,37,24,40,0.95,0.97,29472,39324,6,6,12,11,3,4,1,2,33.3,20.0,84.6,69.2,0,0,0,1,1.4,0.8,5.0,3.4,0.0,0.0,-0.0,0.0,19,20,31,33
2023-09-02 07:46:35,2023-09-02 07:23:27,04:08,2023-09-02 07:27:35,2023-09-02 07:32:05,08:17,2023-09-02 07:40:35,09:31,"V, N",3jLG6yoShvmOMOk,0:23:08,F,24,-1,11,-11,5,Chrome version 116.0.0.0,3262,1936,4080,1936,-1,-1,61975,77438,0,2,0,0,0,2,7795,3420,19,100.0,38,95.0,20,37,24,41,0.97,0.98,42940,80762,0,6,12,7,0,2,4,6,-1,50.0,50.0,7.7,6,0,0,5,-1,2.2,2.2,0.3,-1,0.0,0.0,0.0,28,22,28,33
2023-09-02 12:17:23,2023-09-02 11:45:34,14:39,2023-09-02 12:00:13,2023-09-02 12:05:17,05:02,2023-09-02 12:10:28,10:32,"V, N",N0kd9RBgUzWfZO4,0:31:49,F,46,-5,9,5,7,Chrome version 116.0.0.0,1931,1293,2732,1293,-1,-1,36691,54296,0,0,1,0,1,0,4350,2197,18,94.7,42,100.0,14,16,17,28,0.68,0.74,28431,50996,6,6,9,9,0,0,0,4,100.0,100.0,100.0,38.5,0,0,3,3,9.2,9.2,9.2,1.6,0.0,0.0,0.0,0.0,22,24,35,33
2023-09-03 21:26:53,2023-09-03 19:57:09,58:52,2023-09-03 20:56:01,2023-09-03 21:20:26,08:45,2023-09-03 21:00:44,15:25,"N, V",szlEWWKSrXciZg4,1:29:44,F,21,-1,11,-5,1,Chrome version 114.0.0.0,2948,1616,3917,1616,-1,-1,56021,67876,0,0,0,0,0,0,6575,3004,19,100.0,42,100.0,9,7,13,17,0.6,0.47,40224,71235,6,4,12,11,1,1,0,1,71.4,60.0,100.0,83.3,0,2,0,1,3.6,2.8,9.2,4.8,0.0,0.0,0.0,0.0,21,25,32,34
2023-09-04 14:54:10,2023-09-04 14:20:13,07:27,2023-09-04 14:27:40,2023-09-04 14:36:34,07:24,2023-09-04 14:44:13,11:52,"V, N",ruEFbLL2y3ykwwP,0:33:57,F,30,-1,5,9,3,Chrome version 115.0.0.0,2194,1865,2431,1924,-1,700,41680,78346,0,0,0,2,0,2,3452,2688,19,100.0,40,95.2,7,21,14,33,0.55,0.73,46448,81181,3,6,10,5,0,0,3,10,100.0,100.0,53.8,-33.3,3,0,2,7,9.2,9.2,2.4,-1.4,0.0,0.0,-0.0,0.0,25,24,31,31
2023-09-04 19:46:22,2023-09-04 18:58:26,18:22,2023-09-04 19:16:48,2023-09-04 19:22:28,11:04,2023-09-04 19:34:04,12:38,"V, N",wiEnLI3z8H78v8D,0:47:56,M,27,-3,5,9,5,Chrome version 116.0.0.0,3539,2858,5024,2861,-1,2768,67247,120056,0,0,0,1,0,1,7935,5409,19,100.0,41,97.6,16,16,19,27,0.82,0.66,51295,43927,3,5,8,8,1,1,1,1,50.0,66.7,77.8,77.8,3,1,4,4,2.2,3.2,4.2,4.2,0.0,0.0,0.0,0.0,24,24,35,37
2023-09-05 00:55:47,2023-09-05 00:32:42,04:43,2023-09-05 00:37:25,2023-09-05 00:53:25,05:34,2023-09-05 00:42:50,09:41,"N, V",zXongYmpzDR76w6,0:23:05,F,37,-3,3,-5,3,Chrome version 116.0.0.0,2384,1927,1999,1941,-1,1327,45289,80927,0,0,0,1,0,1,4906,4237,19,100.0,41,97.6,8,4,14,20,0.58,0.53,29050,53590,6,5,9,8,2,2,3,3,50.0,42.9,50.0,45.5,0,1,3,4,2.2,1.8,2.2,2.0,0.0,-0.0,0.0,0.0,20,23,32,35
2023-09-05 14:04:46,2023-09-05 13:41:05,07:18,2023-09-05 13:48:23,2023-09-05 13:53:22,05:04,2023-09-05 13:58:37,09:39,"V, N",zPiZNLDofnfb9y6,0:23:41,,42,-5,-7,3,-11,Chrome version 116.0.0.0,2090,1692,2193,1692,-1,-1,39705,71065,0,0,1,0,1,0,3740,2917,18,94.7,42,100.0,19,32,23,36,0.89,0.9,26124,36760,6,6,10,10,0,0,0,3,100.0,100.0,100.0,53.8,0,0,2,2,9.2,9.2,9.2,2.4,0.0,0.0,0.0,-0.0,22,24,34,33
2023-09-05 15:04:27,2023-09-05 14:35:58,07:40,2023-09-05 14:43:38,2023-09-05 14:48:04,05:05,2023-09-05 14:53:18,09:49,"V, N",IAb9OcLZQLMRQbF,0:28:29,F,18,1,7,9,7,Safari version 605.1.15,2541,1744,3362,1749,-1,1531,48275,73251,0,0,0,1,0,1,4623,3953,19,100.0,41,97.6,23,37,23,38,0.86,0.93,28170,44096,0,3,3,7,0,1,6,17,-1,50.0,-33.3,-41.7,6,3,9,5,-1,2.2,-1.4,-1.8,-1,0.0,0.0,-0.0,28,26,35,22
2023-09-05 17:54:23,2023-09-05 17:25:05,08:34,2023-09-05 17:33:39,2023-09-05 17:39:04,06:56,2023-09-05 17:47:19,10:27,"V, N",PPxUqzFw9KRzlcE,0:29:18,F,19,-3,5,3,3,Chrome version 116.0.0.0,2624,1687,3458,1689,3405,1682,49856,70873,0,0,6,8,6,8,5238,3457,13,68.4,34,81.0,16,11,22,23,0.91,0.58,31465,79382,6,4,11,12,4,4,13,9,20.0,0.0,-8.3,14.3,0,2,1,0,0.8,0.0,-0.3,0.6,0.0,0.0,0.0,0.0,18,22,20,25
